id,name,credits,description
1,English Language Arts 30-1,5,
2,Mathematics 30-1,5,
3,Biology 30,5,
4,Computing Science 35 AP,5,
5,Computing Science ADV(CTS-5Cr),5,
6,Mathematics 31,5,
7,Physics (AP) 35,5,
8,Physics 30,5,
9,Chemistry 30,5,
10,Dance 35,5,
11,Portfolio Art 35,5,
12,Dance Composition 35,5,
13,Directing 35,5,
14,Drawing(Adv Techn) 35(CTS-5Cr),5,
15,Film & Media Arts 35(CTS-5Cr),5,
16,Film Studies 35,5,
17,Applied Graphic Arts 35,5,
18,Music 35,5,
19,Instrumental Jazz 35,5,
20,Painting (Adv Techn) 35,5,
21,Jazz Dance 35,5,
22,Pottery/Ceramics(Adv Techn) 35,5,
23,Sculpting (Adv Techn) 35,5,
24,Shooting the Screenplay 35,5,
25,Tap Dance 35,5,
26,Technical Theatre 35 (5Cr),5,
27,Technical Theatre EPS 35,5,
28,Theatre Arts 35,5,
29,Vocal Jazz 35,5,
30,Ballet 35,5,
31,Band 35,5,
32,Adv Acting/Touring Theatre 35,5,
33,Adv Tech-Print/Draw/Sculp(5Cr),5,
34,Choir 35,5,
35,CommunicationTech Adv(CTS-5Cr),5,
36,Contemporary Dance 35,5,
37,Performing Arts 35A,5,
38,Drama 30,5,
39,General Music 30,5,
40,Band Music 35,5,
41,Musical Theatre 35,5,
42,Art 30,5,
43,Art 31,5,
44,Instrumental Music 30,5,
45,Choral Music 30,5,
46,Aboriginal Studies 30,5,
47,Social Studies 30-1,5,
48,Hungarian 35,5,
49,Cree Lang & Culture 30-3Y,5,
50,Cree Lang & Culture 30-6Y,5,
51,Cree Language & Culture 30-9Y,5,
52,Cree L & C 30-12Y,5,
53,Cree Lang & Culture 30,5,
54,Portuguese 35,5,
55,Portuguese Lang &Culture 35-3Y,5,
56,Swedish 35,5,
57,Spanish Lang & Culture 30-3Y,5,
58,Spanish Lang & Culture 30-6Y,5,
59,Spanish Lang & Culture 30-9Y,5,
60,Spanish Language Arts 30,5,
61,Am Sgn Lng & Deaf Culture 35,5,
62,Am Sign L & C 35-9Y,5,
63,American Sign Lang Arts 35,5,
64,Latin 30,5,
65,Italian Lang & Culture 30-3Y,5,
66,Italian Lang & Culture 30-6Y,5,
67,Chinese Lang & Culture 30-3Y,5,
68,Chinese Lang & Culture 30-6Y,5,
69,Chinese Lang & Culture 30-9Y,5,
70,Chinese Language Arts 30,5,
71,Russian 35,5,
72,Korean Lang & Culture 35,5,
73,Polish Language & Arts 35,5,
74,Korean Lang & Culture 35-3Y,5,
75,Polish Lang & Culture 35 - 12Y,5,
76,Polish Lang & Culture 35 - 3Y,5,
77,Francais 30-1,5,
78,Francais 30-2,5,
79,French 30 (New),5,
80,French 30-9Y,5,
81,French 31,5,
82,French Language Arts 30-1,5,
83,French Language Arts 30-2,5,
84,French 30-3Y,5,
85,Punjabi Lang & Culture 30-3Y,5,
86,Punjabi Lang & Culture 30-9Y,5,
87,Punjabi Lang & Culture 35,5,
88,Sikh and Punjabi 35,5,
89,Hebrew 35,5,
90,Hebrew Language Arts 35,5,
91,Greek 35,5,
92,Arabic L & C 35-12Y,5,
93,Arabic L & C 35-6Y,5,
94,German Lang & Culture 30-3Y,5,
95,German Lang & Culture 30-6Y,5,
96,German Lang & Culture 30-9Y,5,
97,German Language Arts 30,5,
98,German Language Arts 35,5,
99,Polish 35,5,
100,Blackfoot Lang & Cult 30,5,
101,Japanese 30,5,
102,Japanese Lang & Culture 30-3Y,5,
103,Japanese Lang & Culture 30-6Y,5,
104,Japanese Lang & Culture 30-9Y,5,
105,Ukrainian Lang Arts 30,5,
106,Ukranian Lang & Culture 30-3Y,5,
107,Ukranian Lang & Culture 30-6Y,5,
108,Ukranian Lang & Culture 30-9Y,5,
109,Science 30,5,
110,Mathematics 30-2,5,
111,Macro-Economics 30,5,
112,Community Health Adv (CTS-5Cr),5,
113,Foods Adv (CTS-5Cr),5,
114,Agriculture Adv (CTS-5Cr),5,
115,Wildlife Adv (CTS-5Cr),5,
116,Forestry Adv (CTS-5Cr),5,
117,Micro-Economics 30,5,
118,Physical Education 30,5,
119,Applied Sociology 30,5,
120,Cultural and Physical Anthropology 30,5,
121,Experimental Psychology 30,5,
122,International Politics 30,5,
123,Philosophies of Man 30,5,
124,Religious Studies 35,5,
125,Western World History 30,5,
126,World Geography 30,5,
127,World Religion 30,5,
128,Community Care Services,3 or 5,
129,Construction Technologies,3 or 5,
130,Cosmetology,3 or 5,
131,Criminal Justice Studies,3 or 5,
132,Design Studies,3 or 5,
133,Electro-Technologies,3 or 5,
134,Enterprise and innovation,3 or 5,
135,Enviromental Stewardship,3 or 5,
136,Esthetics,3 or 5,
137,Fabrication Studies,3 or 5,
138,Fashion Studies,3 or 5,
139,Financial Management,3 or 5,
140,Health Care Aide,3 or 5,
141,Health Care Services,3 or 5,
142,Human & Social Services,3 or 5,
143,Information Processing,3 or 5,
144,Legal Studies,3 or 5,
145,Logistics,3 or 5,
146,Management & Marketing,3 or 5,
147,Mechanics,3 or 5,
148,Networking,3 or 5,
149,Power Engineering,3 or 5,
150,Primary Resources,3 or 5,
151,Recreation Leadership,3 or 5,
152,Tourism Studies,3 or 5,