course_id,institution_id,group
1,1,E
2,1,F
3,1,G
4,1,G
5,1,G
6,1,G
7,1,G
8,1,G
9,1,G
10,1,A
11,1,A
12,1,A
13,1,A
14,1,A
15,1,A
16,1,A
17,1,A
18,1,A
19,1,A
20,1,A
21,1,A
22,1,A
23,1,A
24,1,A
25,1,A
26,1,A
27,1,A
28,1,A
29,1,A
30,1,A
31,1,A
32,1,A
33,1,A
34,1,A
35,1,A
36,1,A
37,1,A
38,1,A
39,1,A
40,1,A
41,1,A
42,1,A
43,1,A
44,1,A
45,1,A
46,1,B
47,1,B
48,1,C
49,1,C
50,1,C
51,1,C
52,1,C
53,1,C
54,1,C
55,1,C
56,1,C
57,1,C
58,1,C
59,1,C
60,1,C
61,1,C
62,1,C
63,1,C
64,1,C
65,1,C
66,1,C
67,1,C
68,1,C
69,1,C
70,1,C
71,1,C
72,1,C
73,1,C
74,1,C
75,1,C
76,1,C
77,1,C
78,1,C
79,1,C
80,1,C
81,1,C
82,1,C
83,1,C
84,1,C
85,1,C
86,1,C
87,1,C
88,1,C
89,1,C
90,1,C
91,1,C
92,1,C
93,1,C
94,1,C
95,1,C
96,1,C
97,1,C
98,1,C
99,1,C
100,1,C
101,1,C
102,1,C
103,1,C
104,1,C
105,1,C
106,1,C
107,1,C
108,1,C
109,1,D
2,1,D
3,1,D
4,1,D
5,1,D
6,1,D
7,1,D
8,1,D
9,1,D
7,1,H
8,1,H
9,1,I
6,1,J
3,1,K
9,1,L
109,1,L
110,1,M
111,1,N
117,1,O
112,1,P
113,1,P
114,1,P
115,1,P
116,1,P
118,1,Q
151,1,Q
48,2,A
49,2,A
50,2,A
51,2,A
52,2,A
53,2,A
54,2,A
55,2,A
56,2,A
57,2,A
58,2,A
59,2,A
60,2,A
61,2,A
62,2,A
63,2,A
64,2,A
65,2,A
66,2,A
67,2,A
68,2,A
69,2,A
70,2,A
71,2,A
72,2,A
73,2,A
74,2,A
75,2,A
76,2,A
77,2,A
78,2,A
79,2,A
80,2,A
81,2,A
82,2,A
83,2,A
84,2,A
85,2,A
86,2,A
87,2,A
88,2,A
89,2,A
90,2,A
91,2,A
92,2,A
93,2,A
94,2,A
95,2,A
96,2,A
97,2,A
98,2,A
99,2,A
100,2,A
101,2,A
102,2,A
103,2,A
104,2,A
105,2,A
106,2,A
107,2,A
108,2,A
42,2,B
43,2,B
35,2,B
10,2,B
38,2,B
39,2,B
44,2,B
45,2,B
41,2,B
18,2,B
37,2,B
2,2,C
3,2,C
5,2,C
6,2,C
8,2,C
9,2,C
109,2,C
110,2,C
111,2,D
112,2,D
113,2,D
114,2,D
115,2,D
116,2,D
117,2,D
118,2,D
119,2,D
120,2,D
121,2,D
122,2,D
123,2,D
124,2,D
125,2,D
126,2,D
127,2,D
128,2,D
129,2,D
130,2,D
131,2,D
132,2,D
133,2,D
134,2,D
135,2,D
136,2,D
137,2,D
138,2,D
139,2,D
140,2,D
141,2,D
142,2,D
143,2,D
144,2,D
145,2,D
146,2,D
147,2,D
148,2,D
149,2,D
150,2,D
151,2,D
152,2,D
1,2,E
2,2,F
110,2,F
3,2,G
9,2,H
109,2,H
2,2,I
6,2,I
110,2,I
2,2,J
3,2,K
5,2,K
6,2,K
8,2,K
9,2,K
6,2,L
9,2,M
8,2,N
3,3,A
9,3,A
9,3,B
2,3,B
2,3,C
153,3,C
2,3,D
153,3,D
3,3,D
3,3,E
9,3,E
2,3,E
3,3,F
9,3,F
2,3,F
,3,G
9,3,I
2,3,I
8,3,I
2,3,K
2,3,L
153,3,L
9,3,L
2,3,L
47,4,A
46,4,A
153,4,F
3,4,G
8,4,G
9,4,G
49,4,A
50,4,A
51,4,A
52,4,A
53,4,A
54,4,A
55,4,A
56,4,A
57,4,A
58,4,A
59,4,A
60,4,A
61,4,A
62,4,A
63,4,A
64,4,A
65,4,A
66,4,A
67,4,A
68,4,A
69,4,A
70,4,A
71,4,A
72,4,A
73,4,A
74,4,A
75,4,A
76,4,A
77,4,A
78,4,A
79,4,A
80,4,A
81,4,A
82,4,A
83,4,A
84,4,A
18,4,B
39,4,B
42,4,B
43,4,B
38,4,B
45,4,B
37,4,B
10,4,B
35,4,B
44,4,B
110,4,C
2,4,C
6,4,C
3,4,C
9,4,C
4,4,C
5,4,C
8,4,C
109,4,C
119,4,D
121,4,D
122,4,D
123,4,D
111,4,D
117,4,D
127,4,D
114,4,D
112,4,D
146,4,D