id,condition_id,condition_group,
1,7,A,
2,7,B,
3,7,C,
4,7,D,
5,7,M,
6,5,A,
7,5,B,
8,5,C,
9,5,D,
10,8,A,
11,8,B,
12,8,C,
13,8,D,
14,8,M,
15,9,B,
16,9,C,
17,9,D,
18,9,M,
19,10,B,
20,10,C,
21,10,D,
22,10,M,
23,17,A,
24,17,B,
25,17,C,
26,17,D,
27,20,F,
28,20,J,
29,20,M,
30,25,A,
31,25,B,
32,25,C,
33,25,D,
34,25,M,
35,29,Q,
36,29,K,
37,33,A,
38,33,B,
39,33,C,
40,33,D,
41,34,A,
42,34,B,
43,34,C,
44,34,D,
45,35,A,
46,35,B,
47,35,C,
48,35,D,
49,40,A,
50,40,B,
51,40,C,
52,40,D,
53,45,A,
54,45,B,
55,45,C,
56,45,D,
57,47,A,
58,47,B,
59,47,C,
60,47,D,
61,48,A,
62,48,B,
63,48,C,
64,48,D,
65,49,A,
66,49,B,
67,49,C,
68,49,D,
69,50,A,
70,50,B,
71,50,C,
72,50,D,
73,58,B,
74,58,C,
75,59,C,
76,59,D,
77,61,A,
78,61,B,
79,61,C,
80,61,D,
81,62,A,
82,62,B,
83,62,C,
84,62,D,
85,63,A,
86,63,B,
87,63,C,
88,63,D,
89,64,A,
90,64,B,
91,64,C,
92,64,D,
93,67,B,
94,67,A,
95,67,C,
96,68,B,
97,68,A,
98,68,C,
99,69,A,
100,69,C,
101,70,B,
102,70,A,
103,70,C,
104,73,A,
105,73,B,
106,73,C,
107,74,A,
108,74,B,
109,74,C,
110,75,A,
111,75,C,
112,75,D,
113,77,A,
114,77,B,
115,77,C,
116,78,A,
117,78,B,
118,78,C,
119,79,A,
120,79,C,
121,80,A,
122,80,B,
123,80,C,
124,80,D,
125,85,A,
126,85,B,
127,85,C,
128,85,D,
129,1,E,
130,2,F,
131,6,E,
132,11,E,
133,12,F,
134,13,H,
135,14,I,
136,15,J,
137,16,E,
138,18,K,
139,19,L,
140,21,E,
141,22,F,
142,23,K,
143,24,L,
144,26,E,
145,27,F,
146,28,H,
147,30,I,
148,31,E,
149,32,F,
150,36,E,
151,37,G,
152,38,H,
153,39,I,
154,41,E,
155,42,J,
156,43,K,
157,44,K,
158,46,E,
159,51,E,
160,52,F,
161,53,L,
162,54,M,
163,55,N,
164,56,E,
165,57,A,
166,60,E,
167,66,E,
168,71,E,
169,72,F,
170,76,E,
171,81,E,
172,82,F,
173,83,G,
174,84,G,
175,86,A,
176,87,B,
177,88,C,
178,89,D,
179,90,E,
180,91,F,
181,92,G,
182,93,H,
183,94,I,
184,95,C,
185,96,E,
186,97,K,
187,98,C,